"season","opponent","data","player","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team","game_id"
2009,"Chapman University","defense","Steve Downs","6","1","7","-/-","-","-/-","-","1","1-0","-/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","Peter Antone","7","-","7","1.0/6","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","TEAM","5","-","5","-/-","-","-/-","-","-","0-1","1/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","Collin Hoyer","3","1","4","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home",7492
2009,"Chapman University","defense","Brian Kaltenecker","4","-","4","1.0/1","1.0","-/-","-","-","0-1","1/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","Kevin Anderson","3","1","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","Mike Arakelian","3","1","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","Jake Fey","2","1","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","Michael Mehlhaff","3","-","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","Kellen Matsuno","3","-","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","Jason Oregel","2","1","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","Danny Jones","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","Erick Mueller","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","Willie Robbins","2","-","2","1.0/4","1.0","-/-","-","1","1-0","-/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","Nick Nugwynne","1","-","1","-/-","-","-/-","-","-","0-0","-/-","1-4","1","-","-","-","home",7492
2009,"Chapman University","defense","Tyler Halstead","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","Andrew Carcova","-","1","1","-/-","-","-/-","-","-","0-1","1/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","Jordan Pavlisin","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","Richard Phillips","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","Stephen Sales","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492
2009,"Chapman University","defense","Rymer","5","1","6","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","away",7492
2009,"Chapman University","defense","Atwater","4","1","5","1.0/2","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492
2009,"Chapman University","defense","Morris","4","-","4","3.0/4","3.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492
2009,"Chapman University","defense","Laredo","3","1","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492
2009,"Chapman University","defense","Marcoot","4","-","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492
2009,"Chapman University","defense","Tognoni","3","-","3","2.0/2","2.0","-/-","-","-","0-0","-/-","2-63","2","1","-","-","away",7492
2009,"Chapman University","defense","Park","3","-","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492
2009,"Chapman University","defense","Salzman","2","1","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492
2009,"Chapman University","defense","Mills","3","-","3","2.0/3","2.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492
2009,"Chapman University","defense","TEAM","3","-","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492
2009,"Chapman University","defense","Weyerhauser","2","-","2","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492
2009,"Chapman University","defense","Olson","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492
2009,"Chapman University","defense","Chiang","2","-","2","1.0/5","1.0","-/-","-","-","0-0","-/-","-","-","1","-","-","away",7492
2009,"Chapman University","defense","Picciotto","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492
2009,"Chapman University","defense","Jiwanlal","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492
2009,"Chapman University","defense","Hansen","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492
2009,"Chapman University","defense","Patoc","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","away",7492
2009,"Chapman University","defense","Gorshteyn","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492
2009,"Chapman University","defense","Andrew","1","-","1","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492
2009,"Chapman University","defense","E. Yingling","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492
2009,"Occidental College","defense","Dan Picciotto","9","6","15","2.0/17","2.0","1.5/15","1.5","-","0-1","1/20","-","-","-","-","-","home",7488
2009,"Occidental College","defense","Brock Olson","4","5","9","-/-","-","-/-","-","-","0-0","-/-","1-2","1","1","-","-","home",7488
2009,"Occidental College","defense","Jake Weyerhauser","4","3","7","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488
2009,"Occidental College","defense","Patrick Atwater","-","5","5","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488
2009,"Occidental College","defense","Nate Jiwanlal","4","-","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488
2009,"Occidental College","defense","Daniel Andrew","2","2","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488
2009,"Occidental College","defense","Dane Rymer","1","2","3","0.5/2","0.5","-/-","-","-","0-0","-/-","-","-","2","-","-","home",7488
2009,"Occidental College","defense","Sae Bin Park","-","3","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488
2009,"Occidental College","defense","Rory Baird","2","1","3","1.5/1","1.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488
2009,"Occidental College","defense","Matt Laredo","2","-","2","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488
2009,"Occidental College","defense","Ben Salzman","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488
